id,b1,b2,g1,g2,r1,r2
71509,136,26,146,24,145,18
52515,176,41,164,30,132,21
52548,41,150,48,158,58,166
49008,127,27,154,23,160,25
52326,22,171,26,179,26,182
51386,56,197,55,202,51,210
45919,141,39,158,35,193,57
50669,129,23,167,33,201,46
52747,31,196,38,206,49,222
73318,189,57,201,51,215,100
54640,19,103,29,141,38,159
70457,52,165,20,109,14,53
71920,16,159,20,173,26,188
71486,48,191,42,188,57,179
69940,138,45,168,53,169,66
50163,24,113,37,135,33,153
73344,146,30,152,27,167,31
71499,44,151,36,162,29,182
75724,203,40,192,36,225,72
67374,40,192,46,198,62,208
69958,49,184,38,179,14,156
72962,39,148,45,162,54,182
72408,128,25,133,27,168,29
65994,182,43,185,47,188,46
61115,19,195,20,199,21,201
69986,27,142,33,157,35,171
66463,86,140,61,166,35,179
52234,27,177,30,187,35,201
52541,164,46,151,30,119,11
75401,126,30,145,33,174,50
73114,167,27,171,29,180,35
53751,23,214,34,224,54,232
49532,169,79,183,59,183,56
70397,35,161,35,165,32,158
74893,202,54,217,44,230,64
73301,68,106,113,183,40,165
73339,72,164,48,182,34,202
71498,32,187,36,187,36,185
69689,20,128,16,142,14,161
72648,140,100,202,105,220,55
51700,232,48,239,69,249,130
76581,206,48,167,27,107,12
50598,158,28,157,27,164,23
73096,45,188,69,208,75,196
70910,194,54,208,55,215,99
71987,22,210,26,226,70,239
70427,160,130,195,95,173,25
75216,83,163,66,198,49,209
74879,42,129,45,159,58,158
46875,98,226,65,214,18,199
73394,28,180,31,197,39,208
61273,54,153,102,210,145,231
74269,40,218,48,223,116,235
52744,181,29,181,34,87,3
47531,186,54,208,69,219,92
64686,37,160,32,170,31,182
72181,222,48,203,27,169,28
70999,47,205,63,210,85,203
75400,23,184,106,197,190,209
74308,118,13,133,16,205,41
71932,170,48,202,69,222,107
71790,191,44,188,39,185,37
70434,8,91,12,136,30,196
73638,39,193,47,195,62,187
66583,172,27,166,18,159,16
53084,98,195,109,207,107,212
51943,29,157,27,153,33,173
53097,20,127,24,152,30,170
71942,31,194,31,214,37,223
73787,183,21,155,10,126,10
51083,158,47,192,75,216,110
70122,40,190,44,208,94,228
71487,35,174,40,183,52,197
73918,23,107,22,128,25,146
52103,56,3,100,6,207,57
73285,164,18,182,19,208,42
50682,30,177,25,172,24,163
74485,127,177,85,205,54,210
76458,17,157,17,176,20,171
70000,29,167,37,183,39,180
70562,128,58,130,57,132,54
72043,21,132,22,136,30,155
73193,59,185,49,197,89,220
50498,23,163,24,177,36,195
71623,218,35,222,38,230,55
49945,26,155,22,172,20,185
69991,5,139,5,134,12,192
74425,176,24,167,23,156,26
49726,225,78,226,87,225,113
52530,112,12,169,21,209,45
53781,32,169,31,175,29,186
75240,149,15,174,18,196,29
70992,89,23,190,30,209,25
71943,24,155,29,182,44,207
70883,2,59,3,85,16,161
72357,62,185,57,171,32,90
54971,39,157,43,164,49,170
73396,179,20,189,23,200,31
78155,16,176,15,191,21,192
75016,176,40,207,63,228,112
76037,14,163,15,164,15,159
71691,23,157,26,177,30,191
73284,120,191,72,190,21,177
72222,61,142,89,182,76,179
73398,195,64,224,98,236,81
75467,209,34,215,38,216,47
70922,172,32,186,37,196,73
75735,34,195,31,195,52,202
69992,234,56,237,70,242,126
72080,196,34,209,38,219,44
74094,139,30,151,31,157,30
51442,33,210,26,218,38,229
69945,43,112,54,155,81,199
75390,27,166,24,172,32,189
74093,2,64,2,107,5,196
74196,181,174,156,204,43,190
70229,239,43,243,42,248,94
52757,21,171,23,173,35,183
72242,193,48,196,50,193,55
76695,163,49,187,53,202,63
52229,36,164,40,173,50,189
52301,10,96,12,134,21,182
52532,140,29,147,31,159,28
75744,98,221,98,230,98,232
74461,39,189,82,210,103,204
70399,53,96,50,147,49,198
74205,205,76,217,72,221,92
71713,205,68,209,64,219,69
70396,44,214,47,218,66,220
76411,36,161,31,153,29,150
74522,196,78,200,91,199,98
66361,184,38,189,34,191,75
75380,135,62,191,75,196,88
74054,126,38,158,49,140,59
77567,71,149,66,158,64,184
52996,94,226,102,233,122,237
53089,202,39,202,34,173,46
78198,209,23,217,35,228,65
76373,15,118,15,116,10,97
77157,110,218,120,235,134,240
78166,64,208,44,213,80,224
75572,129,47,157,53,203,72
72960,41,212,53,223,66,230
75236,11,140,22,174,8,129
78826,58,18,76,24,175,29
79215,29,145,44,156,35,149
75247,161,25,82,4,110,11
77906,21,163,31,183,38,202
78973,11,84,10,135,27,183
80470,28,216,24,216,27,219
79152,180,53,175,50,150,62
74532,170,51,164,43,200,55
77171,18,75,24,105,31,123
69988,70,199,98,219,123,225
71070,51,216,164,229,208,237
52498,226,78,236,90,220,83
75445,62,186,85,222,95,220
77920,6,118,8,153,7,150
76791,13,142,18,160,8,164
75028,192,65,213,82,223,106
52778,9,117,11,131,13,151
74523,27,122,28,133,40,172
49920,26,143,27,141,36,140
79104,25,167,28,171,36,164
71599,50,164,61,161,78,156
75237,31,210,23,214,27,226
73854,41,212,30,211,41,210
78152,130,63,213,77,207,65
76760,91,250,129,240,125,219
72959,223,51,226,55,230,65
73448,212,72,239,90,244,102
77206,77,248,67,249,53,249
79732,180,58,195,72,197,85
78472,184,24,212,55,240,95
39966,24,96,20,90,25,103
54360,76,229,77,234,92,242
73934,183,41,210,52,226,74
73170,249,94,249,75,250,137
73299,65,220,73,209,58,146
54173,68,33,174,27,212,29
121483,116,42,150,63,159,68
77292,38,118,60,158,73,171
73478,6,55,8,74,40,147
75745,242,57,225,132,205,142
72295,20,190,31,204,24,179
75218,0,112,1,112,2,190
75719,6,64,12,78,36,155
74179,144,45,152,46,219,94
76047,229,35,238,123,248,171
73963,187,37,180,40,170,39
76989,43,162,42,194,53,202
76951,30,197,17,171,23,147
135419,20,121,35,170,58,195
76669,41,178,57,208,42,182
79561,26,177,25,178,28,186
75720,6,101,12,135,13,174
70241,26,141,27,153,35,160
83084,37,168,44,185,55,201
76016,81,174,81,198,123,220
80866,38,147,44,168,48,197
73411,38,15,177,24,233,82
53372,36,189,29,186,24,176
76080,149,42,180,38,206,42
75413,152,64,159,66,163,62
76460,21,183,19,183,21,184
51443,25,112,32,147,32,166
75355,44,170,44,192,72,208
74315,182,41,186,45,192,54
78851,180,36,178,31,134,40
80629,12,155,14,152,16,136
77125,40,212,47,223,81,237
76347,34,184,32,189,22,168
75395,24,159,25,169,28,186
79557,178,31,181,33,191,53
48246,134,35,143,35,156,37
41585,55,152,64,200,26,170
73477,183,66,185,71,185,68
74838,21,156,25,171,30,187
69989,32,178,24,171,23,158
74632,214,49,211,29,210,49
71628,138,37,156,48,168,57
74567,21,91,15,121,36,181
74627,109,8,169,15,212,37
68437,157,47,167,53,171,66
73508,160,18,163,16,164,15
82428,43,195,39,199,37,184
83017,37,188,39,201,36,200
79439,236,47,239,46,242,64
82219,61,160,48,164,50,171
65893,45,181,42,165,43,144
79105,184,33,195,38,212,47
76048,170,44,181,55,186,76
70995,160,38,182,33,177,27
74904,29,211,26,210,39,212
72562,173,56,177,43,174,44
79159,141,38,155,46,167,57
78161,135,39,161,48,199,70
79140,187,29,179,24,180,35
76051,142,26,176,40,197,60
76445,18,151,14,187,12,201
76455,201,60,195,78,173,67
85094,72,216,73,221,91,217
51786,23,95,19,156,15,135
81106,48,240,59,241,126,243
76972,192,36,177,26,145,14
82434,4,94,12,157,26,196
72177,149,38,156,39,199,57
74736,157,35,185,47,189,64
72042,33,167,35,170,13,146
76348,35,177,29,175,34,172
84843,85,191,74,192,80,167
77039,35,188,22,178,17,170
82188,187,27,197,27,217,63
80628,90,125,58,136,18,184
74528,30,156,33,170,33,176
76377,211,108,211,106,191,78
81316,45,203,42,216,61,208
77919,42,190,40,195,104,208
74303,53,218,40,217,51,209
76451,178,43,167,29,147,24
84065,210,39,217,38,223,125
80626,12,139,20,175,44,207
79762,53,215,55,222,70,235
71139,33,170,39,198,42,203
78160,195,56,211,76,216,105
74799,190,59,170,39,128,17
76369,20,162,12,137,15,85
79565,192,41,208,57,222,83
74621,199,40,207,77,209,99
32972,27,54,48,168,63,207
76444,106,204,91,196,67,181
71769,25,132,30,161,36,188
69990,195,32,185,36,145,18
81478,203,69,204,73,203,78
76456,21,150,28,178,53,200
83410,216,116,214,104,200,106
49725,25,139,41,169,29,144
84631,92,202,95,212,81,205
76454,228,75,229,126,207,147
86505,212,28,214,28,217,32
52525,34,104,41,186,119,227
77147,190,35,179,30,149,30
54678,28,159,48,203,48,207
82432,33,138,209,136,237,161
88495,109,44,188,86,191,48
76560,72,181,60,198,65,197
78846,36,187,64,213,98,230
74518,148,34,177,57,192,86
73158,14,163,10,177,12,203
80988,51,143,43,185,48,202
82440,19,172,5,125,8,75
76794,197,51,205,56,205,56
78073,44,207,43,204,63,175
81465,122,240,133,244,138,247
85697,40,204,46,216,58,226
81784,192,43,181,25,171,9
66506,169,33,159,22,147,17
82435,75,228,57,208,12,142
82387,225,76,213,62,194,48
86311,217,55,221,41,229,95
80632,32,165,37,183,52,204
80193,26,124,22,145,28,204
76558,65,199,84,208,127,227
82480,140,40,142,36,154,38
74295,15,137,13,125,15,137
76459,194,60,171,32,175,29
71771,161,33,182,43,194,49
74101,29,169,12,145,21,186
